Midnight to 2:59,3:00 to 5:59,6:00 to 8:59,9:00 to 11:59,12:00 to 14:59,15:00 to 17:59,18:00 to 20:59,21:00 to 23:59
9161,7445,32109,37324,51959,67171,39297,21285
3551,2900,13455,14812,19859,26040,14864,8361
2824,2209,9105,10999,15719,19798,11854,6556
2786,2336,9549,11513,16381,21333,12579,6368
