Day of Week,Total,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Monday,403917.0,20828.0,20654.0,20623.0,21321.0,21503.0,19980.0,19990.0,19391.0,19904.0,17322.0,16783.0,17174.0,16796.0,17128.0,17308.0,15966.0,16428.0,16555.0,15647.0,15390.0,14756.0,10900.0,11570.0
Tuesday,426345.0,21611.0,21644.0,20938.0,22734.0,21888.0,20600.0,21343.0,20683.0,20172.0,19196.0,17904.0,18267.0,18061.0,17782.0,17829.0,17418.0,17719.0,17496.0,17083.0,16582.0,15685.0,11587.0,12123.0
Wednesday,430751.0,21820.0,22198.0,21666.0,22303.0,21983.0,21210.0,21099.0,20740.0,20101.0,18906.0,18302.0,18586.0,18736.0,18207.0,18080.0,17431.0,17804.0,17375.0,17125.0,16548.0,15713.0,12160.0,12658.0
Thursday,450405.0,21833.0,23601.0,23003.0,23031.0,22717.0,22004.0,22608.0,22056.0,21811.0,19182.0,19667.0,19169.0,19208.0,19384.0,18875.0,18289.0,18771.0,18687.0,17756.0,17324.0,16179.0,12424.0,12826.0
Friday,496697.0,26038.0,26770.0,26366.0,27015.0,25509.0,25199.0,25144.0,24389.0,23565.0,21763.0,20898.0,21075.0,20330.0,21127.0,20578.0,19036.0,19868.0,19711.0,19024.0,18897.0,17255.0,13302.0,13838.0
Saturday,405546.0,21586.0,22641.0,21496.0,22108.0,21394.0,21080.0,20703.0,20739.0,19405.0,18515.0,17542.0,16939.0,17148.0,17124.0,15956.0,15583.0,15754.0,15515.0,14692.0,14333.0,13417.0,10641.0,11235.0
Sunday,335659.0,17302.0,18313.0,17335.0,17889.0,17975.0,17511.0,17216.0,17072.0,16093.0,14871.0,14347.0,14409.0,13896.0,13908.0,13500.0,12565.0,13199.0,12979.0,13083.0,12259.0,11624.0,8975.0,9338.0
