Roadway Type,Total,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
"Undivided (Two-way, two-lane)",1242034.0,12569.0,64535.0,61483.0,63216.0,59819.0,56203.0,55266.0,53372.0,53990.0,50357.0,49855.0,61886.0,62943.0,62403.0,60461.0,55822.0,58459.0,58561.0,54953.0,54483.0,51318.0,40095.0,39985.0
"Undivided (Two-way, multi-lane)",178947.0,4308.0,5377.0,5320.0,5116.0,5322.0,5081.0,4924.0,4569.0,4667.0,3979.0,3758.0,9825.0,11100.0,11712.0,11420.0,11185.0,11846.0,11630.0,10906.0,10818.0,10283.0,7818.0,7983.0
Divided (Barrier median),148014.0,905.0,7120.0,6768.0,7404.0,7450.0,7096.0,7160.0,6884.0,7185.0,6957.0,6787.0,6933.0,6950.0,7078.0,7083.0,6750.0,6888.0,6992.0,6590.0,6383.0,6158.0,4144.0,4349.0
"Divided (Median, no barrier)",134971.0,1245.0,5643.0,5527.0,5816.0,5990.0,6079.0,5904.0,5663.0,5942.0,5735.0,5378.0,5488.0,5857.0,6562.0,7111.0,7050.0,7286.0,7088.0,6951.0,6942.0,6585.0,4413.0,4716.0
Divided (Type not specified),229488.0,18120.0,9748.0,10001.0,10112.0,10432.0,10497.0,10734.0,11262.0,11313.0,9828.0,8943.0,8798.0,9018.0,8980.0,9230.0,9612.0,10447.0,10265.0,9878.0,9501.0,8357.0,7138.0,7274.0
